DateTime;BTC;ETH;USDT;BNB;SOL;Others
18.11.2018;96636067730,51;17986209056,47;1730455043,89;1012190701,71;0,00;66054949199,49
25.11.2018;67495909376,89;11697896649,01;1767539107,96;665116455,23;0,00;44518136219,22
02.12.2018;73103624621,95;12246074288,01;1856127402,93;689724736,85;0,00;48067930483,83
09.12.2018;60481004015,53;9542449873,01;1888186415,45;616644937,77;0,00;37945027040,76
16.12.2018;56392207666,92;8769607065,26;1865740610,23;597777253,63;0,00;34465352306,64
23.12.2018;70116295669,59;12190954872,85;1884938319,88;775824602,17;0,00;47123307845,35
30.12.2018;66706731183,87;14325112811,65;1914864922,53;764203723,27;0,00;45481550058,65
06.01.2019;67006053968,09;16237236866,33;1900206476,11;793710266,32;0,00;45491734494,46
13.01.2019;63951617854,34;13137238653,24;1968418157,29;781515697,22;0,00;42235384655,43
20.01.2019;65159494467,43;13019799097,66;2050228574,26;858606694,97;0,00;43161077838,26
27.01.2019;63093875787,77;12184594599,16;2038602965,92;904623729,54;0,00;41959864595,85
03.02.2019;61588918669,54;11567052751,35;2022768280,83;889494818,14;0,00;39687140294,92
10.02.2019;64389753659,84;12513573147,91;2023520026,93;1250272710,49;0,00;41593020643,18
17.02.2019;63736028655,90;12920355294,03;2030511100,29;1289540696,39;0,00;41000589465,92
24.02.2019;72772318880,99;16681863328,65;2039149977,93;1524397301,00;0,00;48113797054,18
03.03.2019;67850503782,43;14164562612,40;2040316121,32;1672266808,27;0,00;44676078510,32
10.03.2019;69724795687,61;14532501838,44;2011641529,19;2056489699,61;0,00;46864695708,73
17.03.2019;71210263478,31;14972861114,35;2023048349,94;2271406545,26;0,00;50235644112,14
24.03.2019;71044348339,37;14573095735,63;2036815720,83;2151674293,79;0,00;50951107236,93
31.03.2019;72360880278,27;14993087937,77;2029665840,28;2381796010,66;0,00;52300707125,99
07.04.2019;89207416874,65;17527453358,61;2085680195,20;2689463581,42;0,00;65206438367,88
14.04.2019;89840955121,93;17367737102,05;2434703203,78;2639514039,69;0,00;60428447999,04
21.04.2019;94235418170,91;18381397204,72;2584725071,56;3515050283,88;0,00;62128593515,38
28.04.2019;93090559253,47;16758187936,72;2831470494,30;3150273130,45;0,00;55426680654,22
05.05.2019;103040300609,43;17386994775,69;2780697168,13;3233950438,12;0,00;58307918231,81
12.05.2019;127324932062,08;20628252726,53;2779144867,13;2964098973,35;0,00;63234232338,25
19.05.2019;128743264018,79;24817038181,98;2826226959,86;3997394081,93;0,00;68191402931,41
26.05.2019;142730727441,26;26723606380,62;3066381058,55;4924654281,83;0,00;73678875184,57
02.06.2019;152070720654,00;28197576197,43;3145380171,34;4668534838,80;0,00;83097146821,07
09.06.2019;141195643808,06;26149304837,34;3253191273,70;4526576417,77;0,00;79145351478,21
16.06.2019;157071643324,39;28625941298,98;3458023900,58;4625271040,90;0,00;83517330162,02
23.06.2019;190066473665,96;33035829905,88;3520673454,45;5341330585,89;0,00;92868333721,61
30.06.2019;212195971764,46;34052073190,00;3590222818,76;4974021523,77;0,00;88377543368,21
07.07.2019;199119660789,26;30689153147,58;3701709405,76;4605459369,94;0,00;81546650461,04
14.07.2019;203023272239,38;28783299572,46;3905162367,91;4445058406,87;0,00;71615703740,82
21.07.2019;191923341980,13;24456088024,18;4050251566,05;4797501195,29;0,00;68472226570,31
28.07.2019;169376691458,18;22247512892,49;4018636102,73;4320288835,90;0,00;62917829625,37
04.08.2019;193265191826,84;23868290194,43;4044808202,29;4341252053,56;0,00;65015598906,50
11.08.2019;202576763068,03;22152221748,03;4041818470,55;4613679897,24;0,00;60463109209,79
18.08.2019;182964157772,06;19992339542,10;4043891336,54;4281199736,12;0,00;54312230887,57
25.08.2019;181719537529,84;20504770365,37;4058129081,32;4118754226,84;0,00;55142026643,21
01.09.2019;172382510314,49;18548427164,11;4021478250,88;3304959015,68;0,00;51312520228,09
08.09.2019;188472622853,43;19219420861,33;4071110601,73;3508160633,42;0,00;52574742342,13
15.09.2019;185784741789,62;20288460965,72;4111563122,01;3278128144,30;0,00;52827438894,24
22.09.2019;179904089209,42;23264134520,98;4115829245,57;3275847475,30;0,00;55848283223,76
29.09.2019;148262613208,39;18871654652,07;4126940658,42;2470160216,32;0,00;44942452086,40
06.10.2019;146548819910,64;19059980501,36;4113996157,35;2447631177,86;0,00;46039780463,73
13.10.2019;149868690552,56;19519081973,52;4126320916,25;2672886893,56;0,00;47656893091,93
20.10.2019;143989654006,83;18727930838,11;4135824474,47;2826938326,98;0,00;47819611665,36
